cloud.google.com/go	v0.123.0
cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/firestore	v1.21.0
cloud.google.com/go/longrunning	v0.8.0
code.gitea.io/sdk/gitea	v0.15.1-0.20220530220844-359c771ce3d2
contrib.go.opencensus.io/exporter/jaeger	v0.2.1
contrib.go.opencensus.io/exporter/prometheus	v0.4.2
dario.cat/mergo	v1.0.1
github.com/BurntSushi/toml	v1.4.0
github.com/BurntSushi/toml	v1.5.0
github.com/CycloneDX/cyclonedx-go	v0.9.3
github.com/Masterminds/semver	v1.5.0
github.com/Masterminds/semver/v3	v3.2.1
github.com/ProtonMail/go-crypto	v1.2.0
github.com/RackSec/srslog	v0.0.0-20180709174129-a4725f04ec91
github.com/SSSaaS/sssa-golang	v0.0.0-20170502204618-d37d7782d752
github.com/Shopify/sarama	v1.36.0
github.com/andybalholm/brotli	v1.1.1
github.com/andygrunwald/go-gerrit	v0.0.0-20181207071854-19ef3e9332a4
github.com/antlr/antlr4/runtime/Go/antlr/v4	v4.0.0-20230321174746-8dcc6526cfb1
github.com/aokoli/goutils	v1.1.1
github.com/armon/go-metrics	v0.4.1
github.com/aws/aws-sdk-go	v1.55.5
github.com/beorn7/perks	v1.0.1
github.com/blang/semver	v3.5.1%2Bincompatible
github.com/buger/goterm	v0.0.0-20170918171949-d443b9114f9c
github.com/buger/jsonparser	v1.1.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/chartmuseum/helm-push	v0.10.4
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/cloudflare/circl	v1.6.3
github.com/codegangsta/cli	v1.20.0
github.com/containerd/containerd	v1.7.11
github.com/containerd/log	v0.1.0
github.com/coreos/go-oidc	v2.2.1%2Bincompatible
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.5.0
github.com/cpuguy83/go-md2man/v2	v2.0.5
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/cyphar/filepath-securejoin	v0.6.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/defensestation/osquery	v1.0.0
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/distribution/reference	v0.5.0
github.com/docker/cli	v26.1.5%2Bincompatible
github.com/docker/distribution	v2.8.3%2Bincompatible
github.com/docker/docker	v26.1.5%2Bincompatible
github.com/docker/docker-credential-helpers	v0.7.0
github.com/docker/go-connections	v0.5.0
github.com/docker/go-metrics	v0.0.1
github.com/docker/go-units	v0.5.0
github.com/dsnet/compress	v0.0.2-0.20210315054119-f66993602bf5
github.com/dustin/go-humanize	v1.0.1
github.com/eapache/go-resiliency	v1.3.0
github.com/eapache/go-xerial-snappy	v0.0.0-20180814174437-776d5712da21
github.com/eapache/queue	v1.1.0
github.com/emicklei/go-restful/v3	v3.11.0
github.com/emirpasic/gods	v1.18.1
github.com/evanphx/json-patch	v5.7.0%2Bincompatible
github.com/fatih/color	v1.18.0
github.com/fatih/structs	v1.1.0
github.com/felixge/httpsnoop	v1.0.4
github.com/forPelevin/gomoji	v1.3.0
github.com/fsamin/go-dump	v1.8.0
github.com/fsamin/go-repo	v0.11.1
github.com/fsamin/go-shredder	v0.0.0-20180118184739-b2488aedb5be
github.com/fsamin/smtp	v0.0.0-20190904085838-54a7c428d4f9
github.com/fsnotify/fsnotify	v1.7.0
github.com/fujiwara/shapeio	v0.0.0-20170602072123-c073257dd745
github.com/ghodss/yaml	v1.0.0
github.com/go-errors/errors	v1.4.2
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.9.0
github.com/go-git/go-git/v5	v5.19.0
github.com/go-gorp/gorp	v2.0.0%2Bincompatible
github.com/go-gorp/gorp	v2.2.0%2Bincompatible
github.com/go-gorp/gorp/v3	v3.1.0
github.com/go-kit/log	v0.2.1
github.com/go-logfmt/logfmt	v0.5.1
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-openapi/jsonpointer	v0.19.6
github.com/go-openapi/jsonreference	v0.20.2
github.com/go-openapi/swag	v0.22.3
github.com/gobwas/glob	v0.2.3
github.com/gofrs/uuid	v4.4.0%2Bincompatible
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/google/btree	v1.0.1
github.com/google/gnostic-models	v0.6.8
github.com/google/go-querystring	v1.0.0
github.com/google/gofuzz	v1.2.0
github.com/google/jsonschema-go	v0.4.2
github.com/google/s2a-go	v0.1.9
github.com/google/shlex	v0.0.0-20191202100458-e7afc7fbc510
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.14
github.com/googleapis/gax-go/v2	v2.21.0
github.com/gookit/color	v1.6.0
github.com/gophercloud/gophercloud	v0.1.0
