fyne.io/fyne	v1.4.0
github.com/fsnotify/fsnotify	v1.4.9
github.com/getlantern/context	v0.0.0-20190109183933-c447772a6520
github.com/getlantern/errors	v0.0.0-20190325191628-abdb3e3e36f7
github.com/getlantern/golog	v0.0.0-20190830074920-4ef2e798c2d7
github.com/getlantern/hex	v0.0.0-20190417191902-c6586a6fe0b7
github.com/getlantern/hidden	v0.0.0-20190325191715-f02dbb02be55
github.com/getlantern/ops	v0.0.0-20190325191751-d70cb0d6f85f
github.com/getlantern/systray	v1.1.0
github.com/go-gl/gl	v0.0.0-20190320180904-bf2b1f2f34d7
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20200625191551-73d3c3675aa3
github.com/go-stack/stack	v1.8.0
github.com/godbus/dbus/v5	v5.0.3
github.com/goki/freetype	v0.0.0-20181231101311-fa8a33aabaff
github.com/oxtoacart/bpool	v0.0.0-20190530202638-03653db5a59c
github.com/srwiley/oksvg	v0.0.0-20200311192757-870daf9aa564
github.com/srwiley/rasterx	v0.0.0-20200120212402-85cb7272f5e9
golang.org/x/image	v0.0.0-20200430140353-33d19683fad8
golang.org/x/net	v0.0.0-20201021035429-f5854403a974
golang.org/x/sys	v0.0.0-20201119102817-f84b799fce68
golang.org/x/text	v0.3.3
