github.com/acarl005/stripansi	v0.0.0-20180116102854-5a71ef0e047d
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/fatih/color	v1.19.0
github.com/felixge/fgprof	v0.9.5
github.com/google/pprof	v0.0.0-20260709232956-b9395ee17fa0
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.23
github.com/mattn/go-runewidth	v0.0.24
github.com/pkg/profile	v1.7.0
github.com/vbauerster/mpb/_examples/barextender	
github.com/vbauerster/mpb/_examples/barextenderrev	
github.com/vbauerster/mpb/_examples/cancel	
github.com/vbauerster/mpb/_examples/decoratorsontop	
github.com/vbauerster/mpb/_examples/differentwidth	
github.com/vbauerster/mpb/_examples/dyntotal	
github.com/vbauerster/mpb/_examples/io	
github.com/vbauerster/mpb/_examples/mexicanbar	
github.com/vbauerster/mpb/_examples/multibars	
github.com/vbauerster/mpb/_examples/poplog	
github.com/vbauerster/mpb/_examples/progressaswriter	
github.com/vbauerster/mpb/_examples/queuebar	
github.com/vbauerster/mpb/_examples/quietmode	
github.com/vbauerster/mpb/_examples/remove	
github.com/vbauerster/mpb/_examples/reversebar	
github.com/vbauerster/mpb/_examples/singlebar	
github.com/vbauerster/mpb/_examples/spinnerbar	
github.com/vbauerster/mpb/_examples/spinnerdecorator	
github.com/vbauerster/mpb/_examples/spintipbar	
github.com/vbauerster/mpb/_examples/stress	
github.com/vbauerster/mpb/_examples/suppressbar	
github.com/vbauerster/mpb/_examples/tiponcomplete	
github.com/vividcortex/ewma	v1.2.0
golang.org/x/mod	v0.24.0
golang.org/x/sync	v0.13.0
golang.org/x/sys	v0.47.0
golang.org/x/tools	v0.32.0
