github.com/dustinxie/ecc	v0.0.0-20210511000915-959544187564
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.7
go.opentelemetry.io/auto/sdk	v1.1.0
go.opentelemetry.io/otel	v1.36.0
go.opentelemetry.io/otel/metric	v1.36.0
go.opentelemetry.io/otel/sdk	v1.36.0
go.opentelemetry.io/otel/sdk/metric	v1.36.0
go.opentelemetry.io/otel/trace	v1.36.0
golang.org/x/crypto	v0.41.0
golang.org/x/net	v0.43.0
golang.org/x/sys	v0.35.0
golang.org/x/text	v0.28.0
google.golang.org/genproto/googleapis/rpc	v0.0.0-20250811230008-5f3141c8851a
google.golang.org/grpc	v1.74.2
google.golang.org/protobuf	v1.36.7
