github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/gabriel-vasile/mimetype	v1.4.12
github.com/go-playground/assert/v2	v2.2.0
github.com/go-playground/form/v4	v4.3.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.1
github.com/leodido/go-urn	v1.4.0
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/stretchr/testify	v1.11.1
github.com/yaitoo/async	v1.0.4
golang.org/x/crypto	v0.48.0
golang.org/x/net	v0.49.0
golang.org/x/sys	v0.41.0
golang.org/x/text	v0.34.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
