github.com/BurntSushi/toml	v0.3.1
github.com/Masterminds/semver/v3	v3.1.1
github.com/cockroachdb/apd	v1.1.0
github.com/coreos/go-systemd	v0.0.0-20190719114852-fd7a80b32e1f
github.com/creack/pty	v1.1.7
github.com/davecgh/go-spew	v1.1.1
github.com/fergusstrange/embedded-postgres	v1.12.0
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-kit/log	v0.1.0
github.com/go-logfmt/logfmt	v0.5.0
github.com/go-stack/stack	v1.8.0
github.com/go-task/slim-sprig	v0.0.0-20210107165309-348f09dbbbc0
github.com/gofrs/uuid	v4.0.0+incompatible
github.com/golang/protobuf	v1.5.2
github.com/google/go-cmp	v0.5.5
github.com/google/renameio	v0.1.0
github.com/hpcloud/tail	v1.0.0
github.com/iancoleman/strcase	v0.2.0
github.com/jackc/chunkreader	v1.0.0
github.com/jackc/chunkreader/v2	v2.0.1
github.com/jackc/pgconn	v1.10.1
github.com/jackc/pgio	v1.0.0
github.com/jackc/pgmock	v0.0.0-20210724152146-4ad1a8207f65
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgproto3	v1.1.0
github.com/jackc/pgproto3/v2	v2.2.0
github.com/jackc/pgservicefile	v0.0.0-20200714003250-2b9c44734f2b
github.com/jackc/pgtype	v1.9.1
github.com/jackc/pgx/v4	v4.14.1
github.com/jackc/puddle	v1.2.0
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.1.4
github.com/kisielk/gotool	v1.0.0
github.com/konsorten/go-windows-terminal-sequences	v1.0.2
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.8
github.com/kr/text	v0.1.0
github.com/lib/pq	v1.10.4
github.com/mattn/go-colorable	v0.1.6
github.com/mattn/go-isatty	v0.0.12
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.4
github.com/onsi/gomega	v1.16.0
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.3.0
github.com/rs/xid	v1.2.1
github.com/rs/zerolog	v1.15.0
github.com/satori/go.uuid	v1.2.0
github.com/shopspring/decimal	v1.2.0
github.com/sirupsen/logrus	v1.4.2
github.com/stretchr/objx	v0.2.0
github.com/stretchr/testify	v1.7.0
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
github.com/yuin/goldmark	v1.2.1
github.com/zenazn/goji	v0.9.0
go.uber.org/atomic	v1.6.0
go.uber.org/multierr	v1.5.0
go.uber.org/tools	v0.0.0-20190618225709-2cfd321de3ee
go.uber.org/zap	v1.13.0
golang.org/x/crypto	v0.0.0-20211215153901-e495a2d5b3d3
golang.org/x/lint	v0.0.0-20190930215403-16217165b5de
golang.org/x/mod	v0.3.0
golang.org/x/net	v0.0.0-20211112202133-69e39bad7dc2
golang.org/x/sync	v0.0.0-20201020160332-67f06af15bc9
golang.org/x/sys	v0.0.0-20210615035016-665e8c7367d1
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.0.0-20201224043029-2b0845dc783e
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/protobuf	v1.26.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/errgo.v2	v2.1.0
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/inconshreveable/log15.v2	v2.0.0-20180818164646-67afb5ed74ec
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
gorm.io/driver/postgres	v1.2.3
gorm.io/gorm	v1.22.4
honnef.co/go/tools	v0.0.1-2019.2.3
