github.com/cespare/xxhash/v2	v2.3.0
github.com/cockroachdb/datadriven	v1.0.2
github.com/cockroachdb/logtags	v0.0.0-20230118201751-21c54148d20b
github.com/cockroachdb/redact	v1.1.5
github.com/davecgh/go-spew	v1.1.1
github.com/getsentry/sentry-go	v0.46.0
github.com/go-errors/errors	v1.4.2
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/gogo/googleapis	v1.4.1
github.com/gogo/protobuf	v1.3.2
github.com/gogo/status	v1.1.0
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/hydrogen18/memlistener	v1.0.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/pingcap/errors	v0.11.4
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/stretchr/testify	v1.8.4
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.39.0
go.opentelemetry.io/otel/metric	v1.39.0
go.opentelemetry.io/otel/sdk	v1.39.0
go.opentelemetry.io/otel/sdk/metric	v1.39.0
go.opentelemetry.io/otel/trace	v1.39.0
go.uber.org/goleak	v1.3.0
golang.org/x/net	v0.48.0
golang.org/x/sys	v0.39.0
golang.org/x/text	v0.32.0
gonum.org/v1/gonum	v0.16.0
google.golang.org/genproto	v0.0.0-20230410155749-daa745c078e1
google.golang.org/grpc	v1.79.3
google.golang.org/protobuf	v1.36.10
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
