github.com/BurntSushi/freetype-go	v0.0.0-20160129220410-b763ddbfe298
github.com/BurntSushi/graphics-go	v0.0.0-20160129215708-b43f31a4a966
github.com/davecgh/go-spew	v1.1.1
github.com/gen2brain/shm	v0.1.0
github.com/go-ole/go-ole	v1.3.0
github.com/go-vgo/robotgo	v1.0.0-rc2.1
github.com/google/go-cmp	v0.5.9
github.com/jezek/xgb	v1.1.0
github.com/kbinani/screenshot	v0.0.0-20230812210009-b87d31814237
github.com/lufia/plan9stats	v0.0.0-20230326075908-cb1d2100619a
github.com/lxn/win	v0.0.0-20210218163916-a377121e959e
github.com/otiai10/gosseract	v2.2.1+incompatible
github.com/otiai10/mint	v1.3.0
github.com/pmezard/go-difflib	v1.0.0
github.com/power-devops/perfstat	v0.0.0-20221212215047-62379fc7944b
github.com/prashantgupta24/mac-sleep-notifier	v1.0.1
github.com/robotn/gohook	v0.41.0
github.com/robotn/xgb	v0.0.0-20190912153532-2cb92d044934
github.com/robotn/xgbutil	v0.0.0-20190912154524-c861d6f87770
github.com/shirou/gopsutil/v3	v3.23.9
github.com/shoenig/go-m1cpu	v0.1.6
github.com/shoenig/test	v0.6.4
github.com/sirupsen/logrus	v1.9.3
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.4
github.com/tklauser/go-sysconf	v0.3.12
github.com/tklauser/numcpus	v0.6.1
github.com/vcaesar/gops	v0.30.2
github.com/vcaesar/imgo	v0.40.0
github.com/vcaesar/keycode	v0.10.1
github.com/vcaesar/tt	v0.20.0
github.com/yusufpapurcu/wmi	v1.2.3
golang.org/x/image	v0.13.0
golang.org/x/sys	v0.13.0
golang.org/x/text	v0.13.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
