filippo.io/edwards25519	v1.2.0
github.com/DATA-DOG/go-txdb	v0.2.1
github.com/cucumber/gherkin/go/v26	v26.2.0
github.com/cucumber/godog/_examples	
github.com/cucumber/messages/go/v21	v21.0.1
github.com/davecgh/go-spew	v1.1.1
github.com/go-sql-driver/mysql	v1.10.0
github.com/gofrs/uuid	v4.3.1%2Bincompatible
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-memdb	v1.3.5
github.com/hashicorp/go-uuid	v1.0.2
github.com/hashicorp/golang-lru	v0.5.4
github.com/inconshreveable/mousetrap	v1.1.0
github.com/kr/pretty	v0.2.1
github.com/kr/pretty	v0.3.0
github.com/kr/text	v0.1.0
github.com/kr/text	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.6.1
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/stretchr/testify	v1.11.1
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
incorrect-project-structure	
