github.com/MauriceGit/skiplist	v0.0.0-20211105230623-77f5c8d3e145
github.com/RoaringBitmap/roaring/v2	v2.18.2
github.com/beorn7/perks	v1.0.1
github.com/bits-and-blooms/bitset	v1.24.4
github.com/cespare/xxhash/v2	v2.3.0
github.com/dunglas/go-urlpattern	v0.0.0-20260716093037-fb05c4998526
github.com/dunglas/skipfilter	v1.0.0
github.com/felixge/httpsnoop	v1.0.4
github.com/fsnotify/fsnotify	v1.10.1
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/gofrs/uuid/v5	v5.4.0
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/gorilla/handlers	v1.5.2
github.com/gorilla/mux	v1.8.1
github.com/inconshreveable/mousetrap	v1.1.0
github.com/maypok86/otter/v2	v2.3.0
github.com/mschoch/smat	v0.2.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/nlnwa/whatwg-url	v0.6.2
github.com/pelletier/go-toml/v2	v2.3.1
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.68.0
github.com/prometheus/procfs	v0.20.1
github.com/rs/cors	v1.11.1
github.com/sagikazarmark/locafero	v0.12.0
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.21.0
github.com/subosito/gotenv	v1.6.0
github.com/unrolled/secure	v1.17.0
github.com/yosida95/uritemplate/v3	v3.0.2
go.etcd.io/bbolt	v1.4.3
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.52.0
golang.org/x/exp	v0.0.0-20260410095643-746e56fc9e2f
golang.org/x/net	v0.55.0
golang.org/x/sys	v0.45.0
golang.org/x/text	v0.37.0
google.golang.org/protobuf	v1.36.11
