github.com/davecgh/go-spew	v1.1.1
github.com/elastic/elastic-transport-go/v8	v8.9.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.13.1
github.com/stretchr/testify	v1.10.0
go.opentelemetry.io/auto/sdk	v1.1.0
go.opentelemetry.io/otel	v1.35.0
go.opentelemetry.io/otel/metric	v1.35.0
go.opentelemetry.io/otel/sdk	v1.29.0
go.opentelemetry.io/otel/trace	v1.35.0
golang.org/x/sys	v0.24.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
