github.com/cenkalti/backoff/v4	v4.3.0
github.com/expr-lang/expr	v1.17.5
github.com/go-errr/go	v1.0.12
github.com/go-external-config/go	v1.0.36
github.com/go-jose/go-jose/v4	v4.1.1
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-retryablehttp	v0.7.8
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-secure-stdlib/parseutil	v0.2.0
github.com/hashicorp/go-secure-stdlib/strutil	v0.1.2
github.com/hashicorp/go-sockaddr	v1.0.7
github.com/hashicorp/hcl	v1.0.1-vault-7
github.com/hashicorp/vault/api	v1.23.0
github.com/magiconair/properties	v1.8.10
github.com/mitchellh/mapstructure	v1.5.0
github.com/ryanuber/go-glob	v1.0.0
golang.org/x/net	v0.51.0
golang.org/x/text	v0.34.0
golang.org/x/time	v0.12.0
gopkg.in/yaml.v3	v3.0.1
