github.com/davecgh/go-spew	v1.1.1
github.com/go-stack/stack	v1.8.1
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.5.2
github.com/klauspost/compress	v1.13.6
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.6.1
github.com/tidwall/pretty	v1.0.0
github.com/xdg-go/pbkdf2	v1.0.0
github.com/xdg-go/scram	v1.0.2
github.com/xdg-go/stringprep	v1.0.2
github.com/youmark/pkcs8	v0.0.0-20201027041543-1326539a0a0a
go.mongodb.org/mongo-driver	v1.7.4
golang.org/x/crypto	v0.0.0-20211108221036-ceb1ce70b4fa
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/text	v0.3.7
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
