cloud.google.com/go	v0.39.0
firebase.google.com/go	v3.7.0+incompatible
github.com/golang/protobuf	v1.2.0
github.com/googleapis/gax-go/v2	v2.0.4
github.com/hashicorp/golang-lru	v0.5.0
github.com/jschoedt/go-structmapper	v0.0.0-20211213232249-19a5c78afaa6
github.com/patrickmn/go-cache	v2.1.0+incompatible
go.opencensus.io	v0.21.0
golang.org/x/net	v0.0.0-20190311183353-d8887717615a
golang.org/x/oauth2	v0.0.0-20190226205417-e64efc72b421
golang.org/x/sys	v0.0.0-20190215142949-d0b11bdaac8a
golang.org/x/text	v0.3.1-0.20180807135948-17ff2d5776d2
google.golang.org/api	v0.5.0
google.golang.org/genproto	v0.0.0-20190508193815-b515fa19cec8
google.golang.org/grpc	v1.19.0
