github.com/alecthomas/kingpin/v2	v2.3.2
github.com/alecthomas/template	v0.0.0-20160405071501-a0175ee3bccc
github.com/alecthomas/units	v0.0.0-20211218093645-b94a6e3cc137
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/go-kit/kit	v0.8.0
github.com/go-kit/log	v0.2.1
github.com/go-logfmt/logfmt	v0.5.1
github.com/go-stack/stack	v1.8.0
github.com/gogo/protobuf	v1.1.1
github.com/golang/protobuf	v1.5.3
github.com/google/go-cmp	v0.6.0
github.com/jpillora/backoff	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/julienschmidt/httprouter	v1.3.0
github.com/konsorten/go-windows-terminal-sequences	v1.0.1
github.com/kr/logfmt	v0.0.0-20140226030751-b84e30acd515
github.com/kr/pretty	v0.3.1
github.com/matttproud/golang_protobuf_extensions	v1.0.1
github.com/matttproud/golang_protobuf_extensions/v2	v2.0.0
github.com/mjl-/adns	v0.0.0-20250321173553-ab04b05bdfea
github.com/mjl-/autocert	v0.0.0-20250321204043-abab2b936e31
github.com/mjl-/bstore	v0.0.10
github.com/mjl-/flate	v0.0.0-20250221133712-6372d09eb978
github.com/mjl-/sconf	v0.0.7
github.com/mjl-/sherpa	v0.6.7
github.com/mjl-/sherpadoc	v0.0.16
github.com/mjl-/sherpaprom	v0.0.2
github.com/mjl-/sherpats	v0.0.6
github.com/mjl-/xfmt	v0.0.2
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/mwitkow/go-conntrack	v0.0.0-20190716064945-2f068394615f
github.com/pkg/errors	v0.8.0
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.18.0
github.com/prometheus/client_model	v0.5.0
github.com/prometheus/common	v0.45.0
github.com/prometheus/procfs	v0.12.0
github.com/rogpeppe/go-internal	v1.10.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/sirupsen/logrus	v1.2.0
github.com/stretchr/objx	v0.1.1
github.com/stretchr/testify	v1.8.1
github.com/xhit/go-str2duration/v2	v2.1.0
github.com/yuin/goldmark	v1.4.13
go.etcd.io/bbolt	v1.3.12
go.etcd.io/gofail	v0.1.0
golang.org/x/crypto	v0.54.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.57.0
golang.org/x/oauth2	v0.12.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/telemetry	v0.0.0-20260625142307-59b4966ccb57
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.47.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/appengine	v1.6.7
google.golang.org/protobuf	v1.31.0
gopkg.in/alecthomas/kingpin.v2	v2.2.6
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
rsc.io/qr	v0.2.0
