github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/thoas/go-funk	v0.9.3
go.uber.org/goleak	v1.2.1
golang.org/x/mod	v0.17.0
golang.org/x/sync	v0.11.0
golang.org/x/text	v0.22.0
golang.org/x/tools	v0.21.1-0.20240508182429-e35e4ccd0d2d
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.1
