github.com/fsnotify/fsnotify	v1.4.7
github.com/go-playground/locales	v0.13.0
github.com/go-playground/universal-translator	v0.17.0
github.com/go-playground/validator	v9.31.0%2Bincompatible
github.com/hashicorp/hcl	v1.0.0
github.com/joho/godotenv	v1.3.0
github.com/leodido/go-urn	v1.2.0
github.com/magiconair/properties	v1.8.1
github.com/mitchellh/mapstructure	v1.2.2
github.com/pelletier/go-toml	v1.2.0
github.com/spf13/afero	v1.1.2
github.com/spf13/cast	v1.3.0
github.com/spf13/jwalterweatherman	v1.0.0
github.com/spf13/pflag	v1.0.3
github.com/spf13/viper	v1.6.2
github.com/subosito/gotenv	v1.2.0
go.uber.org/atomic	v1.6.0
go.uber.org/multierr	v1.5.0
golang.org/x/sys	v0.0.0-20200610111108-226ff32320da
golang.org/x/text	v0.3.2
gopkg.in/go-playground/validator.v9	v9.31.0
gopkg.in/ini.v1	v1.51.0
gopkg.in/yaml.v2	v2.2.4
