cloud.google.com/go	v0.81.0
cloud.google.com/go/bigquery	v1.8.0
cloud.google.com/go/datastore	v1.1.0
cloud.google.com/go/firestore	v1.1.0
cloud.google.com/go/pubsub	v1.3.1
cloud.google.com/go/storage	v1.10.0
codeberg.org/go-fonts/liberation	v0.5.0
codeberg.org/go-latex/latex	v0.2.0
codeberg.org/go-pdf/fpdf	v0.11.1
dmitri.shuralyov.com/gpu/mtl	v0.0.0-20221208032759-85de2813cf6b
eliasnaur.com/font	v0.0.0-20220124212145-832bb8fc08c3
fyne.io/fyne/v2	v2.3.1
fyne.io/fyne/v2	v2.7.3
fyne.io/systray	v1.10.1-0.20230207085535-4a244dbb9d03
fyne.io/systray	v1.12.1
gioui.org	v0.0.0-20230224004350-5f818bc5e7f9
gioui.org	v0.9.0
gioui.org/cpu	v0.0.0-20220412190645-f1e9e8c3b1f7
gioui.org/shader	v1.0.6
gioui.org/shader	v1.0.8
git.sr.ht/~sbinet/gg	v0.3.1
git.sr.ht/~sbinet/gg	v0.7.0
github.com/adrg/strutil	v0.3.0
github.com/adrg/sysfont	v0.1.2
github.com/adrg/xdg	v0.4.0
github.com/ajstarks/deck	v0.0.0-20200831202436-30c9fc6549a9
github.com/ajstarks/deck/generate	v0.0.0-20210309230005-c3f852c02e19
github.com/ajstarks/svgo	v0.0.0-20211024235047-1546f124cd8b
github.com/akavel/rsrc	v0.10.2
github.com/andybalholm/brotli	v1.2.1
github.com/antihax/optional	v1.0.0
github.com/armon/circbuf	v0.0.0-20150827004946-bbbad097214e
github.com/armon/go-metrics	v0.0.0-20180917152333-f0300d1749da
github.com/armon/go-radix	v0.0.0-20180808171621-7fddfc383310
github.com/benoitkugler/pstokenizer	v1.0.0
github.com/benoitkugler/textlayout	v0.3.0
github.com/benoitkugler/textlayout	v0.3.2
github.com/benoitkugler/textlayout-testdata	v0.1.1
github.com/benoitkugler/textprocessing	v0.0.2
github.com/benoitkugler/textprocessing	v0.0.6
github.com/bgentry/speakeasy	v0.1.0
github.com/bketelsen/crypt	v0.0.4
github.com/boombuler/barcode	v1.0.1
github.com/burntsushi/freetype-go	v0.0.0-20160129220410-b763ddbfe298
github.com/burntsushi/graphics-go	v0.0.0-20160129215708-b43f31a4a966
github.com/burntsushi/toml	v1.1.0
github.com/burntsushi/toml	v1.6.0
github.com/burntsushi/xgb	v0.0.0-20160522181843-27f122750802
github.com/burntsushi/xgb	v0.0.0-20210121224620-deaf085860bc
github.com/burntsushi/xgbutil	v0.0.0-20190907113008-ad855c713046
github.com/bytearena/poly2tri-go	v0.0.0-20170716161910-d102ad91854f
github.com/census-instrumentation/opencensus-proto	v0.2.1
github.com/cheekybits/is	v0.0.0-20150225183255-68e9c0620927
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/client9/misspell	v0.3.4
github.com/cncf/udpa/go	v0.0.0-20201120205902-5459f2c99403
github.com/coreos/go-semver	v0.3.0
github.com/coreos/go-systemd/v22	v22.3.2
github.com/cpuguy83/go-md2man/v2	v2.0.1
github.com/datadog/czlib	v0.0.0-20160811164712-4bc9a24e37f2
github.com/davecgh/go-spew	v1.1.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/djherbis/atime	v1.1.0
github.com/dsnet/compress	v0.0.1
github.com/dsnet/golib	v0.0.0-20171103203638-1ea166775780
github.com/dustin/go-humanize	v1.0.0
github.com/envoyproxy/go-control-plane	v0.9.9-0.20210217033140-668b12f5399d
github.com/envoyproxy/protoc-gen-validate	v0.1.0
github.com/fatih/color	v1.7.0
github.com/fogleman/gg	v1.3.0
github.com/fredbi/uri	v1.0.0
github.com/fredbi/uri	v1.1.1
github.com/fsnotify/fsnotify	v1.10.1
github.com/fsnotify/fsnotify	v1.6.0
github.com/fyne-io/gl-js	v0.0.0-20220802150000-8e339395f381
github.com/fyne-io/gl-js	v0.2.0
github.com/fyne-io/glfw-js	v0.0.0-20220517201726-bebc2019cd33
github.com/fyne-io/glfw-js	v0.3.0
github.com/fyne-io/image	v0.0.0-20221020213044-f609c6a24345
github.com/fyne-io/image	v0.1.1
github.com/fyne-io/oksvg	v0.2.0
github.com/ghodss/yaml	v1.0.0
github.com/go-fonts/dejavu	v0.1.0
github.com/go-fonts/latin-modern	v0.3.0
github.com/go-fonts/latin-modern	v0.3.3
github.com/go-fonts/liberation	v0.3.0
github.com/go-fonts/stix	v0.1.0
github.com/go-gl/gl	v0.0.0-20211210172815-726fda9656d6
github.com/go-gl/gl	v0.0.0-20260331235117-4566fea9a276
github.com/go-gl/glfw	v0.0.0-20190409004039-e6da0acd62b1
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20221017161538-93cebf72946b
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20260406072232-3ac4aa2bb164
github.com/go-latex/latex	v0.0.0-20230307184459-12ec69307ad9
github.com/go-ole/go-ole	v1.2.6
github.com/go-pdf/fpdf	v0.6.0
github.com/go-sql-driver/mysql	v1.9.3
github.com/go-text/render	v0.2.1
github.com/go-text/typesetting	v0.0.0-20230502123426-87572f5551cf
github.com/go-text/typesetting	v0.3.4
github.com/go-text/typesetting-utils	v0.0.0-20230412163830-89e4bcfa3ecc
github.com/godbus/dbus/v5	v5.1.0
github.com/godbus/dbus/v5	v5.2.2
github.com/gogo/protobuf	v1.3.2
github.com/goki/freetype	v0.0.0-20220119013949-7a161fd3728c
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/golang/glog	v0.0.0-20160126235308-23def4e6c14b
github.com/golang/groupcache	v0.0.0-20200121045136-8c9f03a8e57e
github.com/golang/mock	v1.5.0
github.com/golang/protobuf	v1.5.2
github.com/golang/snappy	v0.0.1
github.com/google/btree	v1.0.0
github.com/google/go-cmp	v0.5.8
github.com/google/go-cmp	v0.7.0
github.com/google/gofuzz	v1.0.0
github.com/google/martian	v2.1.0%2Bincompatible
github.com/google/martian/v3	v3.1.0
github.com/google/pprof	v0.0.0-20210226084205-cbba55b83ad5
github.com/google/renameio	v0.1.0
github.com/google/uuid	v1.1.2
github.com/googleapis/gax-go/v2	v2.0.5
github.com/gopherjs/gopherjs	v1.17.2
github.com/goxjs/gl	v0.0.0-20210104184919-e3fafc6f8f2a
github.com/goxjs/glfw	v0.0.0-20191126052801-d2efb5f20838
github.com/grpc-ecosystem/grpc-gateway	v1.16.0
github.com/hack-pad/go-indexeddb	v0.3.2
github.com/hack-pad/safejs	v0.1.1
github.com/hashicorp/consul/api	v1.1.0
github.com/hashicorp/consul/sdk	v0.1.1
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-cleanhttp	v0.5.1
github.com/hashicorp/go-immutable-radix	v1.0.0
github.com/hashicorp/go-msgpack	v0.5.3
github.com/hashicorp/go-multierror	v1.0.0
github.com/hashicorp/go-rootcerts	v1.0.0
github.com/hashicorp/go-sockaddr	v1.0.0
github.com/hashicorp/go-syslog	v1.0.0
github.com/hashicorp/go-uuid	v1.0.1
