4d63.com/gocheckcompilerdirectives	v1.3.0
4d63.com/gochecknoglobals	v0.2.2
cel.dev/expr	v0.25.1
cloud.google.com/go	v0.121.2
cloud.google.com/go/auth	v0.16.5
cloud.google.com/go/auth/oauth2adapt	v0.2.2
cloud.google.com/go/bigquery	v1.61.0
cloud.google.com/go/bigtable	v1.10.1
cloud.google.com/go/compute	v1.6.1
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/datastore	v1.1.0
cloud.google.com/go/firestore	v1.6.1
cloud.google.com/go/iam	v1.1.8
cloud.google.com/go/longrunning	v0.5.7
cloud.google.com/go/pubsub	v1.3.1
cloud.google.com/go/storage	v1.10.0
codeberg.org/chavacava/garif	v0.2.0
codeberg.org/polyfloyd/go-errorlint	v1.9.0
collectd.org	v0.3.0
dev.gaijin.team/go/exhaustruct/v4	v4.0.0
dev.gaijin.team/go/golib	v0.6.0
dmitri.shuralyov.com/gpu/mtl	v0.0.0-20190408044501-666a987793e9
github.com/4meepo/tagalign	v1.4.3
github.com/99designs/go-keychain	v0.0.0-20191008050251-8e49817e8af4
github.com/99designs/keyring	v1.2.2
github.com/Abirdcfly/dupword	v0.1.7
github.com/AdminBenni/iota-mixing	v1.0.0
github.com/AlwxSin/noinlineerr	v1.0.5
github.com/Antonboom/errname	v1.1.1
github.com/Antonboom/nilnil	v1.1.1
github.com/Antonboom/testifylint	v1.6.4
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.11.1
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.8.0
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob	v1.3.2
github.com/Azure/go-autorest	v14.2.0+incompatible
github.com/Azure/go-autorest/autorest	v0.11.9
github.com/Azure/go-autorest/autorest/adal	v0.9.13
github.com/Azure/go-autorest/autorest/azure/auth	v0.5.3
github.com/Azure/go-autorest/autorest/azure/cli	v0.4.2
github.com/Azure/go-autorest/autorest/date	v0.3.0
github.com/Azure/go-autorest/logger	v0.2.1
github.com/Azure/go-autorest/tracing	v0.6.0
github.com/BurntSushi/toml	v1.6.0
github.com/BurntSushi/xgb	v0.0.0-20160522181843-27f122750802
github.com/DATA-DOG/go-sqlmock	v1.4.1
github.com/Djarvur/go-err113	v0.1.1
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.32.0
github.com/JohnCGriffin/overflow	v0.0.0-20211019200055-46fa312c352c
github.com/Masterminds/semver	v1.4.2
github.com/Masterminds/semver/v3	v3.4.0
github.com/Masterminds/sprig	v2.16.0+incompatible
github.com/MirrexOne/unqueryvet	v1.5.4
github.com/OpenPeeDeeP/depguard/v2	v2.2.1
github.com/SAP/go-hdb	v1.9.6
github.com/aclements/go-moremath	v0.0.0-20210112150236-f10218a38794
github.com/alecthomas/assert/v2	v2.11.0
github.com/alecthomas/chroma/v2	v2.23.1
github.com/alecthomas/go-check-sumtype	v0.3.1
github.com/alecthomas/kingpin/v2	v2.4.0
github.com/alecthomas/repr	v0.5.2
github.com/alecthomas/template	v0.0.0-20190718012654-fb15b899a751
github.com/alecthomas/units	v0.0.0-20240927000941-0f3dac36c52b
github.com/alexkohler/nakedret/v2	v2.0.6
github.com/alexkohler/prealloc	v1.1.0
github.com/alfatraining/structtag	v1.0.0
github.com/alicebob/miniredis/v2	v2.37.0
github.com/alingse/asasalint	v0.0.11
github.com/alingse/nilnesserr	v0.2.0
github.com/andreyvit/diff	v0.0.0-20170406064948-c7f18ee00883
github.com/andybalholm/brotli	v1.2.2
github.com/anthropics/anthropic-sdk-go	v1.26.0
github.com/antihax/optional	v1.0.0
github.com/aokoli/goutils	v1.0.1
github.com/apache/arrow/go/arrow	v0.0.0-20211112161151-bc219186db40
github.com/apache/arrow/go/v15	v15.0.2
github.com/apache/arrow/go/v7	v7.0.1
github.com/armon/go-metrics	v0.3.10
github.com/ashanbrown/forbidigo/v2	v2.3.0
github.com/ashanbrown/makezero/v2	v2.1.0
github.com/aws/aws-sdk-go	v1.55.8
github.com/aws/aws-sdk-go-v2	v1.27.1
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.6.2
github.com/aws/aws-sdk-go-v2/credentials	v1.17.17
github.com/aws/aws-sdk-go-v2/feature/s3/manager	v1.16.22
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.3.8
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.6.8
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.3.8
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.11.2
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.3.10
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.11.10
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.17.8
github.com/aws/aws-sdk-go-v2/service/s3	v1.54.4
github.com/aws/smithy-go	v1.20.2
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/aymanbagabas/go-udiff	v0.2.0
github.com/benbjohnson/immutable	v0.4.3
github.com/benbjohnson/tmpl	v1.0.0
github.com/beorn7/perks	v1.0.1
github.com/bits-and-blooms/bitset	v1.22.0
github.com/bkielbasa/cyclop	v1.2.3
github.com/blizzy78/varnamelen	v0.8.0
github.com/bmizerany/pat	v0.0.0-20170815010413-6226ea591a40
github.com/bombsimon/wsl/v4	v4.7.0
github.com/bombsimon/wsl/v5	v5.6.0
github.com/bonitoo-io/go-sql-bigquery	v0.3.4-1.4.0
github.com/breml/bidichk	v0.3.3
github.com/breml/errchkjson	v0.4.1
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/butuzov/ireturn	v0.4.0
github.com/butuzov/mirror	v1.3.0
github.com/catenacyber/perfsprint	v0.10.1
github.com/ccojocar/zxcvbn-go	v1.0.4
github.com/cenkalti/backoff/v5	v5.0.3
github.com/census-instrumentation/opencensus-proto	v0.2.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/charithe/durationcheck	v0.0.11
github.com/charmbracelet/bubbles	v0.21.0
github.com/charmbracelet/bubbletea	v1.3.10
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/lipgloss	v1.1.0
github.com/charmbracelet/x/ansi	v0.10.1
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd
github.com/charmbracelet/x/exp/golden	v0.0.0-20240806155701-69247e0abc2a
github.com/charmbracelet/x/term	v0.2.1
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/ckaznocha/intrange	v0.3.1
github.com/client9/misspell	v0.3.4
github.com/cncf/udpa/go	v0.0.0-20191209042840-269d4d468f6f
github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2
github.com/coreos/go-semver	v0.3.0
github.com/coreos/go-systemd/v22	v22.3.2
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/cristalhq/acmd	v0.12.0
github.com/curioswitch/go-reassign	v0.3.0
github.com/daixiang0/gci	v0.13.7
github.com/danieljoos/wincred	v1.2.1
github.com/dave/dst	v0.27.3
github.com/dave/jennifer	v1.7.1
github.com/davecgh/go-spew	v1.1.1
github.com/deepmap/oapi-codegen	v1.6.0
github.com/denis-tingaikin/go-header	v0.5.0
github.com/denisenkom/go-mssqldb	v0.10.0
github.com/dgraph-io/badger/v4	v4.9.2
github.com/dgraph-io/ristretto/v2	v2.4.0
github.com/dgryski/go-bitstream	v0.0.0-20180413035011-3522498ce2c8
github.com/dgryski/go-farm	v0.0.0-20240924180020-3414d57e47da
github.com/dimchansky/utfbom	v1.1.0
github.com/dlclark/regexp2	v1.11.5
github.com/dustin/go-humanize	v1.0.1
github.com/dvsekhvalnov/jose2go	v1.7.0
github.com/ebitengine/purego	v0.10.0
github.com/eclipse/paho.mqtt.golang	v1.2.0
github.com/envoyproxy/go-control-plane	v0.14.0
github.com/envoyproxy/go-control-plane/envoy	v1.37.0
github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0
github.com/envoyproxy/protoc-gen-validate	v1.3.3
github.com/erikgeiser/coninput	v0.0.0-20211004153227-1c3628e74d0f
github.com/ettle/strcase	v0.2.0
github.com/expr-lang/expr	v1.17.7
github.com/fatih/color	v1.19.0
github.com/fatih/structtag	v1.2.0
github.com/felixge/httpsnoop	v1.0.4
github.com/firefart/nonamedreturns	v1.0.6
github.com/form3tech-oss/jwt-go	v3.2.5+incompatible
github.com/frankban/quicktest	v1.14.3
github.com/fsnotify/fsnotify	v1.5.4
github.com/fzipp/gocyclo	v0.6.0
