github.com/alecthomas/jsonschema	v0.0.0-20220216202328-9eeeec9d044b
github.com/beorn7/perks	v1.0.1
github.com/c2h5oh/datasize	v0.0.0-20231215233829-aa82cc1e6500
github.com/cespare/xxhash/v2	v2.3.0
github.com/iancoleman/orderedmap	v0.3.0
github.com/influxdata/tdigest	v0.0.1
github.com/josharian/intern	v1.0.0
github.com/mailru/easyjson	v0.7.7
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/prometheus/client_golang	v1.19.1
github.com/prometheus/client_model	v0.6.1
github.com/prometheus/common	v0.55.0
github.com/prometheus/procfs	v0.15.1
github.com/rs/dnscache	v0.0.0-20230804202142-fc85eb664529
github.com/tsenart/go-tsz	v0.0.0-20180814235614-0bd30b3df1c3
golang.org/x/net	v0.27.0
golang.org/x/sync	v0.7.0
golang.org/x/sys	v0.22.0
golang.org/x/text	v0.16.0
google.golang.org/protobuf	v1.34.2
