github.com/a2aproject/a2a-go/v2 v2.2.1
github.com/alicebob/miniredis/v2 v2.37.0
github.com/anthropics/anthropic-sdk-go v1.26.0
github.com/golang/mock v1.6.0
github.com/google/uuid v1.6.0
github.com/jackc/pgx/v5 v5.9.2
github.com/joho/godotenv v1.5.1
github.com/modelcontextprotocol/go-sdk v1.4.0
github.com/nexus-rpc/sdk-go v0.6.0
github.com/openai/openai-go/v3 v3.26.0
github.com/pgvector/pgvector-go v0.4.0
github.com/pgvector/pgvector-go/pgx v0.4.0
github.com/redis/go-redis/v9 v9.18.0
github.com/spf13/viper v1.21.0
github.com/stretchr/testify v1.11.1
github.com/weaviate/weaviate v1.37.2
github.com/weaviate/weaviate-go-client/v5 v5.7.3
go.opentelemetry.io/contrib/bridges/otelslog v0.18.0
go.opentelemetry.io/otel v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploggrpc v0.19.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploghttp v0.19.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.43.0
go.opentelemetry.io/otel/log v0.19.0
go.opentelemetry.io/otel/metric v1.43.0
go.opentelemetry.io/otel/sdk v1.43.0
go.opentelemetry.io/otel/sdk/log v0.19.0
go.opentelemetry.io/otel/sdk/metric v1.43.0
go.opentelemetry.io/otel/trace v1.43.0
go.temporal.io/api v1.62.2
go.temporal.io/sdk v1.41.0
go.temporal.io/sdk/contrib/opentelemetry v0.7.0
golang.org/x/oauth2 v0.35.0
google.golang.org/genai v1.51.0
google.golang.org/grpc v1.80.0
