github.com/a-h/templ v0.3.1001
github.com/appleboy/com v1.2.0
github.com/appleboy/go-httpclient v0.10.0
github.com/appleboy/go-httpretry v0.12.0
github.com/appleboy/graceful v1.3.0
github.com/gin-contrib/cors v1.7.7
github.com/gin-contrib/sessions v1.1.0
github.com/gin-gonic/gin v1.12.0
github.com/golang-jwt/jwt/v5 v5.3.1
github.com/google/uuid v1.6.0
github.com/joho/godotenv v1.5.1
github.com/prometheus/client_golang v1.23.2
github.com/redis/go-redis/v9 v9.19.0
github.com/redis/rueidis v1.0.74
github.com/redis/rueidis/rueidisaside v1.0.74
github.com/russross/blackfriday/v2 v2.1.0
github.com/stretchr/testify v1.11.1
github.com/swaggo/files v1.0.1
github.com/swaggo/gin-swagger v1.6.1
github.com/swaggo/swag v1.16.6
github.com/testcontainers/testcontainers-go v0.42.0
github.com/testcontainers/testcontainers-go/modules/postgres v0.42.0
github.com/ulule/limiter/v3 v3.11.2
go.uber.org/mock v0.6.0
golang.org/x/crypto v0.51.0
golang.org/x/oauth2 v0.36.0
golang.org/x/sync v0.20.0
gorm.io/driver/postgres v1.6.0
gorm.io/driver/sqlite v1.6.0
gorm.io/gorm v1.31.1
