github.com/DATA-DOG/go-sqlmock v1.5.2
github.com/adrg/frontmatter v0.2.0
github.com/alecthomas/chroma/v2 v2.26.1
github.com/anthropics/anthropic-sdk-go v1.46.0
github.com/apache/pulsar-client-go v0.14.0
github.com/cenkalti/backoff/v4 v4.3.0
github.com/fsnotify/fsnotify v1.10.1
github.com/google/uuid v1.6.0
github.com/gorilla/websocket v1.5.3
github.com/hashicorp/golang-lru/v2 v2.0.7
github.com/hrygo/hotplex/client v0.0.0
github.com/jackc/pgx/v5 v5.9.2
github.com/larksuite/oapi-sdk-go/v3 v3.9.3
github.com/mattn/go-isatty v0.0.22
github.com/pressly/goose/v3 v3.27.1
github.com/prometheus/client_golang v1.23.2
github.com/robfig/cron/v3 v3.0.1
github.com/sashabaranov/go-openai v1.41.2
github.com/slack-go/slack v0.24.0
github.com/sony/gobreaker v1.0.0
github.com/spf13/viper v1.21.0
github.com/stretchr/testify v1.11.1
github.com/yuin/goldmark v1.8.2
github.com/yuin/goldmark-highlighting/v2 v2.0.0-20230729083705-37449abec8cc
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.69.0
go.opentelemetry.io/contrib/instrumentation/runtime v0.69.0
go.opentelemetry.io/otel v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.44.0
go.opentelemetry.io/otel/exporters/prometheus v0.66.0
go.opentelemetry.io/otel/sdk v1.44.0
go.opentelemetry.io/otel/sdk/metric v1.44.0
go.opentelemetry.io/otel/trace v1.44.0
go.uber.org/atomic v1.11.0
golang.org/x/sync v0.20.0
golang.org/x/time v0.15.0
google.golang.org/grpc v1.81.1
modernc.org/sqlite v1.51.0
github.com/spf13/cobra v1.10.2
go.opentelemetry.io/otel/metric v1.44.0
golang.org/x/sys v0.45.0
golang.org/x/text v0.37.0
gopkg.in/yaml.v3 v3.0.1
