github.com/oklahomer/go-sarah/v4
github.com/creack/pty v1.1.9
github.com/fsnotify/fsnotify v1.8.0
github.com/gorilla/websocket v1.5.3
github.com/kr/pretty v0.3.0
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/oklahomer/go-kasumi v0.0.0-20220203122045-3db87696aa9c
github.com/oklahomer/golack/v2 v2.1.0
github.com/patrickmn/go-cache v2.1.0+incompatible
github.com/pkg/diff v0.0.0-20210226163009-20ebb0f2a09e
github.com/robfig/cron/v3 v3.0.1
github.com/rogpeppe/go-internal v1.8.0
github.com/tidwall/gjson v1.18.0
github.com/tidwall/match v1.1.1
github.com/tidwall/pretty v1.2.1
golang.org/x/sys v0.27.0
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/errgo.v2 v2.1.0
gopkg.in/yaml.v2 v2.4.0
