github.com/BurntSushi/toml v0.3.1
github.com/beorn7/perks v1.0.1
github.com/cespare/xxhash/v2 v2.1.1
github.com/fsnotify/fsnotify v1.4.7
github.com/go-kratos/kratos v0.6.0
github.com/go-playground/locales v0.12.1
github.com/go-playground/universal-translator v0.16.0
github.com/gogo/protobuf v1.3.1
github.com/golang/protobuf v1.3.5
github.com/leodido/go-urn v1.1.0
github.com/matttproud/golang_protobuf_extensions v1.0.1
github.com/pkg/errors v0.8.1
github.com/prometheus/client_golang v1.5.1
github.com/prometheus/client_model v0.2.0
github.com/prometheus/common v0.9.1
github.com/prometheus/procfs v0.0.11
github.com/shirou/gopsutil v2.19.11+incompatible
github.com/sirupsen/logrus v1.5.0
golang.org/x/sync v0.0.0-20190911185100-cd5d95a43a6e
golang.org/x/sys v0.0.0-20200331124033-c3d80250170d
google.golang.org/grpc v1.29.1
gopkg.in/go-playground/validator.v9 v9.29.1
gopkg.in/yaml.v2 v2.2.8
