github.com/aws/aws-sdk-go-v2 v1.25.1
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream v1.6.1
github.com/aws/aws-sdk-go-v2/config v1.27.3
github.com/aws/aws-sdk-go-v2/credentials v1.17.3
github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.15.1
github.com/aws/aws-sdk-go-v2/internal/configsources v1.3.1
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2 v2.6.1
github.com/aws/aws-sdk-go-v2/internal/ini v1.8.0
github.com/aws/aws-sdk-go-v2/internal/v4a v1.3.1
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding v1.11.1
github.com/aws/aws-sdk-go-v2/service/internal/checksum v1.3.1
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url v1.11.1
github.com/aws/aws-sdk-go-v2/service/internal/s3shared v1.17.1
github.com/aws/aws-sdk-go-v2/service/s3 v1.51.0
github.com/aws/aws-sdk-go-v2/service/sso v1.20.0
github.com/aws/aws-sdk-go-v2/service/ssooidc v1.23.0
github.com/aws/aws-sdk-go-v2/service/sts v1.28.0
github.com/aws/smithy-go v1.20.1
github.com/ayinke-llc/hermes v0.0.0-20241111220852-f19376e25099
github.com/cloudinary/cloudinary-go/v2 v2.7.0
github.com/creasty/defaults v1.5.1
github.com/google/uuid v1.2.0
github.com/gorilla/schema v1.2.0
go.uber.org/mock v0.4.0
golang.org/x/sync v0.6.0
