github.com/ajitpratap0/GoSQLX
dario.cat/mergo v1.0.2
filippo.io/edwards25519 v1.1.0
github.com/AdaLogics/go-fuzz-headers v0.0.0-20240806141605-e8a1dd7889d6
github.com/Azure/go-ansiterm v0.0.0-20250102033503-faa5f7b0171c
github.com/Microsoft/go-winio v0.6.2
github.com/bahlo/generic-list-go v0.2.0
github.com/buger/jsonparser v1.1.1
github.com/cenkalti/backoff/v4 v4.3.0
github.com/cenkalti/backoff/v5 v5.0.3
github.com/cespare/xxhash/v2 v2.3.0
github.com/containerd/errdefs v1.0.0
github.com/containerd/errdefs/pkg v0.3.0
github.com/containerd/log v0.1.0
github.com/containerd/platforms v0.2.1
github.com/containerd/typeurl/v2 v2.2.0
github.com/cpuguy83/dockercfg v0.3.2
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/creack/pty v1.1.18
github.com/davecgh/go-spew v1.1.1
github.com/distribution/reference v0.6.0
github.com/docker/docker v28.5.2+incompatible
github.com/docker/go-connections v0.6.0
github.com/docker/go-units v0.5.0
github.com/dustin/go-humanize v1.0.1
github.com/ebitengine/purego v0.10.0
github.com/felixge/httpsnoop v1.0.4
github.com/frankban/quicktest v1.14.6
github.com/fsnotify/fsnotify v1.9.0
github.com/go-logr/logr v1.4.3
github.com/go-logr/stdr v1.2.2
github.com/go-ole/go-ole v1.2.6
github.com/go-sql-driver/mysql v1.9.3
github.com/gogo/protobuf v1.3.2
github.com/golang/protobuf v1.5.0
github.com/google/go-cmp v0.7.0
github.com/google/pprof v0.0.0-20250317173921-a4b03ec1a45e
github.com/google/uuid v1.6.0
github.com/grpc-ecosystem/grpc-gateway/v2 v2.28.0
github.com/hashicorp/golang-lru/v2 v2.0.7
github.com/inconshreveable/mousetrap v1.1.0
github.com/invopop/jsonschema v0.13.0
github.com/josharian/intern v1.0.0
github.com/klauspost/compress v1.18.2
github.com/kr/pretty v0.3.1
github.com/kr/text v0.2.0
github.com/lib/pq v1.12.0
github.com/lufia/plan9stats v0.0.0-20211012122336-39d0f177ccd0
github.com/magiconair/properties v1.8.10
github.com/mailru/easyjson v0.7.7
github.com/mark3labs/mcp-go v0.45.0
github.com/mattn/go-isatty v0.0.20
github.com/moby/docker-image-spec v1.3.1
github.com/moby/go-archive v0.2.0
github.com/moby/patternmatcher v0.6.0
github.com/moby/sys/atomicwriter v0.1.0
github.com/moby/sys/mount v0.3.4
github.com/moby/sys/mountinfo v0.7.2
github.com/moby/sys/reexec v0.1.0
github.com/moby/sys/sequential v0.6.0
github.com/moby/sys/user v0.4.0
github.com/moby/sys/userns v0.1.0
github.com/moby/term v0.5.2
github.com/morikuni/aec v1.0.0
