github.com/benbjohnson/clock v1.3.0
github.com/cznic/mathutil v0.0.0-20181122101859-297441e03548
github.com/fatih/color v1.13.0
github.com/go-logr/logr v1.2.3
github.com/go-logr/stdr v1.2.2
github.com/go-sql-driver/mysql v1.6.0
github.com/golang/mock v1.6.0
github.com/golang/protobuf v1.5.2
github.com/iancoleman/strcase v0.2.0
github.com/mattn/go-colorable v0.1.12
github.com/mattn/go-isatty v0.0.14
github.com/openzipkin/zipkin-go v0.4.0
github.com/pelletier/go-toml/v2 v2.0.2
github.com/pingcap/errors v0.11.5-0.20210425183316-da1aaba5fb63
github.com/pingcap/log v1.1.0
github.com/pingcap/parser v0.0.0-20220622031236-3bca03d3057b
github.com/remyoudompheng/bigfft v0.0.0-20200410134404-eec4a21b6bb0
github.com/spaolacci/murmur3 v1.1.0
github.com/spf13/cobra v1.5.0
github.com/spf13/pflag v1.0.5
github.com/zeromicro/go-zero v1.3.5
go.opentelemetry.io/otel v1.8.0
go.opentelemetry.io/otel/exporters/jaeger v1.8.0
go.opentelemetry.io/otel/exporters/zipkin v1.8.0
go.opentelemetry.io/otel/sdk v1.8.0
go.opentelemetry.io/otel/trace v1.8.0
go.uber.org/atomic v1.9.0
go.uber.org/automaxprocs v1.5.1
go.uber.org/multierr v1.8.0
go.uber.org/zap v1.21.0
golang.org/x/mod v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/sys v0.0.0-20220727055044-e65921a090b8
golang.org/x/text v0.3.7
golang.org/x/tools v0.1.12
google.golang.org/grpc v1.48.0
google.golang.org/protobuf v1.28.0
gopkg.in/natefinch/lumberjack.v2 v2.0.0
gopkg.in/yaml.v2 v2.4.0
