dario.cat/mergo v1.0.2
github.com/andybalholm/brotli v1.2.0
github.com/bep/godartsass/v2 v2.5.0
github.com/bep/golibsass v1.2.0
github.com/fatih/color v1.18.0
github.com/fsnotify/fsnotify v1.9.0
github.com/gobwas/glob v0.2.3
github.com/gohugoio/hugo v0.149.1
github.com/joho/godotenv v1.5.1
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/pelletier/go-toml v1.9.5
github.com/pelletier/go-toml/v2 v2.2.4
github.com/spf13/afero v1.14.0
github.com/spf13/cast v1.9.2
github.com/tdewolff/parse/v2 v2.8.3
golang.org/x/sys v0.35.0
golang.org/x/text v0.28.0
google.golang.org/protobuf v1.36.8
