github.com/cswank/kcli
github.com/Shopify/sarama v1.24.1
github.com/Shopify/toxiproxy v2.1.4+incompatible
github.com/alecthomas/template v0.0.0-20190718012654-fb15b899a751
github.com/alecthomas/units v0.0.0-20190924025748-f65c72e2690d
github.com/davecgh/go-spew v1.1.1
github.com/eapache/go-resiliency v1.1.0
github.com/eapache/go-xerial-snappy v0.0.0-20180814174437-776d5712da21
github.com/eapache/queue v1.1.0
github.com/fatih/color v1.7.0
github.com/fortytw2/leaktest v1.3.0
github.com/frankban/quicktest v1.4.1
github.com/golang/snappy v0.0.1
github.com/google/go-cmp v0.3.0
github.com/hashicorp/go-uuid v1.0.1
github.com/jcmturner/gofork v0.0.0-20190328161633-dc7c13fece03
github.com/jroimartin/gocui v0.4.0
github.com/klauspost/compress v1.8.2
github.com/kr/pretty v0.1.0
github.com/kr/pty v1.1.1
github.com/kr/text v0.1.0
github.com/mattn/go-colorable v0.1.4
github.com/mattn/go-isatty v0.0.11
github.com/mattn/go-runewidth v0.0.7
github.com/nsf/termbox-go v0.0.0-20190817171036-93860e161317
github.com/pierrec/lz4 v2.2.6+incompatible
github.com/pmezard/go-difflib v1.0.0
github.com/rcrowley/go-metrics v0.0.0-20181016184325-3113b8401b8a
github.com/stretchr/objx v0.1.0
github.com/stretchr/testify v1.4.0
github.com/xdg/scram v0.0.0-20180814205039-7eeb5667e42c
github.com/xdg/stringprep v1.0.0
golang.org/x/crypto v0.0.0-20190404164418-38d8ce5564a5
golang.org/x/net v0.0.0-20190404232315-eb5bcb51f2a3
golang.org/x/sys v0.0.0-20191026070338-33540a1f6037
golang.org/x/text v0.3.0
gopkg.in/alecthomas/kingpin.v2 v2.2.6
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/jcmturner/aescts.v1 v1.0.1
gopkg.in/jcmturner/dnsutils.v1 v1.0.1
gopkg.in/jcmturner/goidentity.v3 v3.0.0
gopkg.in/jcmturner/gokrb5.v7 v7.2.3
gopkg.in/jcmturner/rpc.v1 v1.1.0
gopkg.in/yaml.v2 v2.2.2
