cel.dev/expr v0.25.2
cloud.google.com/go v0.123.0
cloud.google.com/go/auth v0.20.0
cloud.google.com/go/auth/oauth2adapt v0.2.8
cloud.google.com/go/compute/metadata v0.9.0
cloud.google.com/go/iam v1.11.0
cloud.google.com/go/monitoring v1.29.0
cloud.google.com/go/storage v1.62.3
filippo.io/edwards25519 v1.2.0
github.com/Azure/azure-sdk-for-go/sdk/azcore v1.22.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity v1.13.1
github.com/Azure/azure-sdk-for-go/sdk/internal v1.12.0
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob v1.7.0
github.com/AzureAD/microsoft-authentication-library-for-go v1.7.2
github.com/GehirnInc/crypt v0.0.0-20230320061759-8cc1b52080c5
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp v1.33.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric v0.57.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping v0.57.0
github.com/ajg/form v1.7.1
github.com/alexedwards/argon2id v1.0.0
github.com/aws/aws-sdk-go-v2 v1.41.12
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream v1.7.13
github.com/aws/aws-sdk-go-v2/config v1.32.23
github.com/aws/aws-sdk-go-v2/credentials v1.19.22
github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.18.28
github.com/aws/aws-sdk-go-v2/internal/configsources v1.4.28
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2 v2.7.28
github.com/aws/aws-sdk-go-v2/internal/v4a v1.4.29
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding v1.13.12
github.com/aws/aws-sdk-go-v2/service/internal/checksum v1.9.21
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url v1.13.28
github.com/aws/aws-sdk-go-v2/service/internal/s3shared v1.19.28
github.com/aws/aws-sdk-go-v2/service/s3 v1.103.2
github.com/aws/aws-sdk-go-v2/service/signin v1.1.4
github.com/aws/aws-sdk-go-v2/service/sso v1.31.2
github.com/aws/aws-sdk-go-v2/service/ssooidc v1.36.5
github.com/aws/aws-sdk-go-v2/service/sts v1.43.2
github.com/aws/smithy-go v1.27.2
github.com/beorn7/perks v1.0.1
github.com/bmatcuk/doublestar/v4 v4.10.0
github.com/boombuler/barcode v1.1.0
github.com/cenkalti/backoff/v5 v5.0.3
github.com/cespare/xxhash/v2 v2.3.0
github.com/cncf/xds/go v0.0.0-20260202195803-dba9d589def2
github.com/cockroachdb/cockroach-go/v2 v2.4.3
github.com/coreos/go-oidc/v3 v3.18.0
github.com/cpuguy83/go-md2man/v2 v2.0.7
github.com/drakkan/webdav v0.0.0-20260506070921-6982cd451202
github.com/eikenb/pipeat v0.0.0-20251030185646-385cd3c3e07b
github.com/envoyproxy/go-control-plane/envoy v1.37.0
github.com/envoyproxy/protoc-gen-validate v1.3.3
github.com/fatih/color v1.19.0
github.com/fclairamb/ftpserverlib v0.32.0
github.com/felixge/httpsnoop v1.0.4
github.com/fsnotify/fsnotify v1.10.1
github.com/go-acme/lego/v4 v4.35.2
github.com/go-chi/chi/v5 v5.3.0
github.com/go-chi/render v1.0.3
github.com/go-jose/go-jose/v4 v4.1.4
github.com/go-logr/logr v1.4.3
github.com/go-logr/stdr v1.2.2
github.com/go-sql-driver/mysql v1.10.0
github.com/go-viper/mapstructure/v2 v2.5.0
github.com/golang-jwt/jwt/v5 v5.3.1
github.com/golang/protobuf v1.5.4
github.com/google/s2a-go v0.1.9
github.com/google/shlex v0.0.0-20191202100458-e7afc7fbc510
github.com/google/uuid v1.6.0
github.com/googleapis/enterprise-certificate-proxy v0.3.16
github.com/googleapis/gax-go/v2 v2.22.0
github.com/hashicorp/go-cleanhttp v0.5.2
github.com/hashicorp/go-hclog v1.6.3
github.com/hashicorp/go-plugin v1.8.0
github.com/hashicorp/go-retryablehttp v0.7.8
github.com/hashicorp/yamux v0.1.2
github.com/jackc/pgpassfile v1.0.0
github.com/jackc/pgservicefile v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5 v5.10.0
github.com/jackc/puddle/v2 v2.2.2
github.com/klauspost/compress v1.18.6
github.com/kr/fs v0.1.0
github.com/kylelemons/godebug v1.1.0
github.com/lithammer/shortuuid/v4 v4.2.0
github.com/mattn/go-colorable v0.1.15
github.com/mattn/go-isatty v0.0.22
github.com/mattn/go-sqlite3 v1.14.45
github.com/miekg/dns v1.1.72
github.com/minio/sio v0.5.1
github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
github.com/oklog/run v1.2.0
github.com/otiai10/copy v1.14.1
github.com/pelletier/go-toml/v2 v2.3.1
github.com/pires/go-proxyproto v0.12.0
github.com/pkg/browser v0.0.0-20240102092130-5ac0b6a4141c
github.com/pkg/sftp v1.13.10
github.com/pquerna/otp v1.5.0
github.com/prometheus/client_golang v1.23.2
github.com/prometheus/client_model v0.6.2
github.com/prometheus/common v0.68.1
github.com/prometheus/procfs v0.20.1
github.com/robfig/cron/v3 v3.0.1
github.com/rs/cors v1.11.1
github.com/rs/xid v1.6.0
github.com/rs/zerolog v1.35.1
github.com/russross/blackfriday/v2 v2.1.0
github.com/sagikazarmark/locafero v0.12.0
github.com/sftpgo/sdk v0.1.9
github.com/shirou/gopsutil/v3 v3.24.5
github.com/spf13/afero v1.15.0
github.com/spf13/cast v1.10.0
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.10
github.com/spf13/viper v1.21.0
github.com/spiffe/go-spiffe/v2 v2.7.0
github.com/subosito/gotenv v1.6.0
github.com/tklauser/go-sysconf v0.4.0
github.com/tklauser/numcpus v0.12.0
github.com/unrolled/secure v1.17.0
github.com/wagslane/go-password-validator v0.3.0
github.com/wneessen/go-mail v0.7.3
github.com/yl2chen/cidranger v1.0.3-0.20210928021809-d1cb2c52f37a
go.etcd.io/bbolt v1.4.3
go.opentelemetry.io/auto/sdk v1.2.1
go.opentelemetry.io/contrib/detectors/gcp v1.44.0
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.69.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.69.0
go.opentelemetry.io/otel v1.44.0
go.opentelemetry.io/otel/metric v1.44.0
go.opentelemetry.io/otel/sdk v1.44.0
go.opentelemetry.io/otel/sdk/metric v1.44.0
go.opentelemetry.io/otel/trace v1.44.0
go.yaml.in/yaml/v3 v3.0.4
gocloud.dev v0.46.0
golang.org/x/crypto v0.52.1-0.20260528171630-4c4d20b72c2f
golang.org/x/net v0.55.0
golang.org/x/oauth2 v0.36.0
golang.org/x/sync v0.21.0
golang.org/x/sys v0.46.0
golang.org/x/term v0.43.0
golang.org/x/text v0.37.0
golang.org/x/time v0.15.0
golang.org/x/xerrors v0.0.0-20240903120638-7835f813f4da
google.golang.org/api v0.283.0
google.golang.org/genproto v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/genproto/googleapis/api v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/genproto/googleapis/rpc v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/grpc v1.81.1
google.golang.org/protobuf v1.36.11
gopkg.in/natefinch/lumberjack.v2 v2.2.1
