github.com/emicklei/mora
github.com/compose/mejson v0.0.0-20150828131556-afcf51c7c640
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/emicklei/go-restful-openapi/v2 v2.10.2
github.com/emicklei/go-restful/v3 v3.12.0
github.com/go-openapi/jsonpointer v0.21.0
github.com/go-openapi/jsonreference v0.21.0
github.com/go-openapi/spec v0.21.0
github.com/go-openapi/swag v0.23.0
github.com/google/gofuzz v1.0.0
github.com/josharian/intern v1.0.0
github.com/json-iterator/go v1.1.12
github.com/kr/pretty v0.3.1
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/magiconair/properties v1.8.7
github.com/mailru/easyjson v0.7.7
github.com/modern-go/concurrent v0.0.0-20180228061459-e0a39a4cb421
github.com/modern-go/reflect2 v1.0.2
github.com/niemeyer/pretty v0.0.0-20200227124842-a10e7caefd8e
github.com/pkg/diff v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib v1.0.0
github.com/rogpeppe/go-internal v1.11.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.9.0
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.0.0-20210921155107-089bfa567519
golang.org/x/mod v0.9.0
golang.org/x/net v0.0.0-20220722155237-a158d28d115b
golang.org/x/sync v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/term v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text v0.3.7
golang.org/x/tools v0.1.12
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/mgo.v2 v2.0.0-20190816093944-a6b53ec6cb22
gopkg.in/yaml.v2 v2.4.0
gopkg.in/yaml.v3 v3.0.1
