entgo.io/ent
ariga.io/atlas v0.36.2-0.20250730182955-2c6300d0a3e1
cloud.google.com/go v0.26.0
github.com/BurntSushi/toml v0.3.1
github.com/DATA-DOG/go-sqlmock v1.5.0
github.com/agext/levenshtein v1.2.3
github.com/apparentlymart/go-dump v0.0.0-20180507223929-23540a00eaa3
github.com/apparentlymart/go-textseg/v13 v13.0.0
github.com/apparentlymart/go-textseg/v15 v15.0.0
github.com/bmatcuk/doublestar v1.3.4
github.com/census-instrumentation/opencensus-proto v0.2.1
github.com/client9/misspell v0.3.4
github.com/clipperhouse/displaywidth v0.6.2
github.com/clipperhouse/stringish v0.1.1
github.com/clipperhouse/uax29/v2 v2.3.0
github.com/cncf/udpa/go v0.0.0-20191209042840-269d4d468f6f
github.com/cpuguy83/go-md2man/v2 v2.0.2
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/envoyproxy/go-control-plane v0.9.4
github.com/envoyproxy/protoc-gen-validate v0.1.0
github.com/fatih/color v1.18.0
github.com/go-openapi/inflect v0.19.0
github.com/go-test/deep v1.0.3
github.com/golang/glog v0.0.0-20160126235308-23def4e6c14b
github.com/golang/groupcache v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/mock v1.1.1
github.com/golang/protobuf v1.4.3
github.com/google/go-cmp v0.6.0
github.com/google/gofuzz v1.0.0
github.com/google/uuid v1.3.0
github.com/gorilla/websocket v1.5.0
github.com/hashicorp/hcl/v2 v2.18.1
github.com/inconshreveable/mousetrap v1.1.0
github.com/jessevdk/go-flags v1.5.0
github.com/json-iterator/go v1.1.12
github.com/kr/pretty v0.3.0
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/kylelemons/godebug v1.1.0
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.19
github.com/mattn/go-sqlite3 v1.14.28
github.com/mitchellh/go-wordwrap v1.0.1
github.com/mitchellh/mapstructure v1.5.0
github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2 v1.0.2
github.com/niemeyer/pretty v0.0.0-20200227124842-a10e7caefd8e
github.com/olekukonko/cat v0.0.0-20250911104152-50322a0618f6
github.com/olekukonko/errors v1.1.0
github.com/olekukonko/ll v0.1.4-0.20260115111900-9e59c2286df0
github.com/olekukonko/tablewriter v1.1.3
github.com/olekukonko/ts v0.0.0-20171002115256-78ecb04241c0
github.com/pmezard/go-difflib v1.0.0
github.com/prometheus/client_model v0.0.0-20190812154241-14fe0d1b01d4
github.com/rogpeppe/go-internal v1.6.1
github.com/russross/blackfriday/v2 v2.1.0
github.com/sergi/go-diff v1.3.1
github.com/spf13/cobra v1.7.0
github.com/spf13/pflag v1.0.5
github.com/stretchr/objx v0.5.0
github.com/stretchr/testify v1.8.4
github.com/vmihailenco/msgpack/v5 v5.3.5
github.com/vmihailenco/tagparser/v2 v2.0.0
github.com/yuin/goldmark v1.4.13
github.com/zclconf/go-cty v1.14.4
github.com/zclconf/go-cty-debug v0.0.0-20191215020915-b22d67c1ba0b
github.com/zclconf/go-cty-yaml v1.1.0
go.opencensus.io v0.24.0
golang.org/x/crypto v0.0.0-20220517005047-85d78b3ac167
golang.org/x/exp v0.0.0-20190121172915-509febef88a4
golang.org/x/lint v0.0.0-20190313153728-d0100b6bd8b3
golang.org/x/mod v0.24.0
golang.org/x/net v0.35.0
golang.org/x/oauth2 v0.0.0-20180821212333-d2e6202438be
golang.org/x/sync v0.11.0
golang.org/x/sys v0.30.0
golang.org/x/telemetry v0.0.0-20240521205824-bda55230c457
golang.org/x/term v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text v0.21.0
golang.org/x/tools v0.30.0
golang.org/x/xerrors v0.0.0-20191204190536-9bdfabe68543
google.golang.org/appengine v1.4.0
google.golang.org/genproto v0.0.0-20200526211855-cb27e3aa2013
google.golang.org/grpc v1.33.2
google.golang.org/protobuf v1.25.0
gopkg.in/check.v1 v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/errgo.v2 v2.1.0
gopkg.in/yaml.v2 v2.4.0
gopkg.in/yaml.v3 v3.0.1
honnef.co/go/tools v0.0.0-20190523083050-ea95bdfd59fc
