github.com/asaskevich/govalidator v0.0.0-20200907205600-7a23bdc65eef
github.com/gertd/go-pluralize v0.1.7
github.com/go-openapi/errors v0.19.8
github.com/go-openapi/strfmt v0.21.2
github.com/go-sql-driver/mysql v1.6.0
github.com/go-stack/stack v1.8.0
github.com/iancoleman/strcase v0.2.0
github.com/jedib0t/go-pretty v4.3.0+incompatible
github.com/lib/pq v1.10.4
github.com/mattn/go-runewidth v0.0.13
github.com/mattn/go-sqlite3 v1.14.11
github.com/mitchellh/mapstructure v1.3.3
github.com/oklog/ulid v1.3.1
github.com/rivo/uniseg v0.2.0
go.mongodb.org/mongo-driver v1.7.5
