github.com/imroc/req/v3
github.com/andybalholm/brotli v1.2.0
github.com/davecgh/go-spew v1.1.1
github.com/google/go-cmp v0.7.0
github.com/google/go-querystring v1.1.0
github.com/icholy/digest v1.1.0
github.com/jordanlewis/gcassert v0.0.0-20250430164644-389ef753e22e
github.com/klauspost/compress v1.18.2
github.com/kr/pretty v0.3.1
github.com/pmezard/go-difflib v1.0.0
github.com/quic-go/qpack v0.6.0
github.com/quic-go/quic-go v0.57.1
github.com/refraction-networking/utls v1.8.1
github.com/rogpeppe/go-internal v1.10.0
github.com/stretchr/testify v1.11.1
github.com/xyproto/randomstring v1.0.5
github.com/yuin/goldmark v1.4.13
go.uber.org/mock v0.6.0
golang.org/x/crypto v0.46.0
golang.org/x/mod v0.30.0
golang.org/x/net v0.48.0
golang.org/x/sync v0.19.0
golang.org/x/sys v0.39.0
golang.org/x/term v0.38.0
golang.org/x/text v0.32.0
golang.org/x/time v0.12.0
golang.org/x/tools v0.39.0
golang.org/x/xerrors v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
gotest.tools/v3 v3.5.1
