github.com/aymanbagabas/go-osc52/v2 v2.0.1
github.com/charmbracelet/colorprofile v0.3.1
github.com/charmbracelet/lipgloss v1.1.0
github.com/charmbracelet/x/ansi v0.9.2
github.com/charmbracelet/x/cellbuf v0.0.13
github.com/charmbracelet/x/term v0.2.1
github.com/lucasb-eyer/go-colorful v1.2.0
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.16
github.com/muesli/termenv v0.16.0
github.com/rivo/uniseg v0.4.7
github.com/xo/terminfo v0.0.0-20220910002029-abceb7e1c41e
golang.org/x/sys v0.33.0
golang.org/x/term v0.32.0
