github.com/nicobistolfi/go-postgres-s3-backup
github.com/aws/aws-lambda-go v1.49.0
github.com/aws/aws-sdk-go-v2 v1.27.0
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream v1.6.2
github.com/aws/aws-sdk-go-v2/config v1.27.0
github.com/aws/aws-sdk-go-v2/credentials v1.17.0
github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.15.0
github.com/aws/aws-sdk-go-v2/internal/configsources v1.3.5
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2 v2.6.5
github.com/aws/aws-sdk-go-v2/internal/ini v1.8.0
github.com/aws/aws-sdk-go-v2/internal/v4a v1.3.5
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding v1.11.2
github.com/aws/aws-sdk-go-v2/service/internal/checksum v1.3.7
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url v1.11.7
github.com/aws/aws-sdk-go-v2/service/internal/s3shared v1.17.5
github.com/aws/aws-sdk-go-v2/service/s3 v1.54.0
github.com/aws/aws-sdk-go-v2/service/sso v1.19.0
github.com/aws/aws-sdk-go-v2/service/ssooidc v1.22.0
github.com/aws/aws-sdk-go-v2/service/sts v1.27.0
github.com/aws/smithy-go v1.20.2
github.com/davecgh/go-spew v1.1.1
github.com/google/go-cmp v0.5.8
github.com/jmespath/go-jmespath v0.4.0
github.com/joho/godotenv v1.5.1
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/testify v1.7.2
gopkg.in/yaml.v3 v3.0.1
