github.com/BurntSushi/xgb v0.0.0-20210121224620-deaf085860bc
github.com/BurntSushi/xgbutil v0.0.0-20190907113008-ad855c713046
github.com/disintegration/gift v1.2.1
github.com/eaburns/bit v0.0.0-20131029213740-7bd5cd37375d
github.com/eaburns/flac v0.0.0-20171003200620-9a6fb92396d1
github.com/golang/freetype v0.0.0-20170609003504-e2365dfdc4a0
github.com/hajimehoshi/go-mp3 v0.3.2
github.com/jfreymuth/pulse v0.1.0
github.com/oakmound/alsa v0.0.2
github.com/oakmound/libudev v0.2.1
golang.org/x/exp v0.0.0-20220414153411-bcd21879b8fd
golang.org/x/image v0.21.0
golang.org/x/mobile v0.0.0-20220325161704-447654d348e3
golang.org/x/sync v0.1.0
