github.com/osrg/gobgp/v4
cel.dev/expr v0.25.1
cloud.google.com/go v0.116.0
cloud.google.com/go/auth v0.13.0
cloud.google.com/go/auth/oauth2adapt v0.2.6
cloud.google.com/go/compute/metadata v0.9.0
cloud.google.com/go/iam v1.2.2
cloud.google.com/go/monitoring v1.21.2
cloud.google.com/go/storage v1.49.0
github.com/BurntSushi/toml v1.5.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp v1.30.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric v0.48.1
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping v0.48.1
github.com/alecthomas/kingpin/v2 v2.3.1
github.com/alecthomas/units v0.0.0-20211218093645-b94a6e3cc137
github.com/beorn7/perks v1.0.1
github.com/census-instrumentation/opencensus-proto v0.4.1
github.com/cespare/xxhash/v2 v2.3.0
github.com/cncf/xds/go v0.0.0-20251210132809-ee656c7534f5
github.com/coreos/go-systemd/v22 v22.5.0
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/dgryski/go-farm v0.0.0-20240924180020-3414d57e47da
github.com/eapache/channels v1.1.0
github.com/eapache/queue v1.1.0
github.com/envoyproxy/go-control-plane v0.14.0
github.com/envoyproxy/go-control-plane/envoy v1.36.0
github.com/envoyproxy/go-control-plane/ratelimit v0.1.0
github.com/envoyproxy/protoc-gen-validate v1.3.0
github.com/felixge/httpsnoop v1.0.4
github.com/frankban/quicktest v1.14.6
github.com/fsnotify/fsnotify v1.9.0
github.com/gaissmai/bart v0.26.1
github.com/getsentry/sentry-go v0.34.1
github.com/go-errors/errors v1.4.2
github.com/go-jose/go-jose/v4 v4.1.3
github.com/go-kit/log v0.2.1
github.com/go-logfmt/logfmt v0.5.1
github.com/go-logr/logr v1.4.3
github.com/go-logr/stdr v1.2.2
github.com/go-test/deep v1.1.1
github.com/go-viper/mapstructure/v2 v2.4.0
github.com/godbus/dbus/v5 v5.0.4
github.com/golang/glog v1.2.5
github.com/golang/groupcache v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/protobuf v1.5.4
github.com/google/go-cmp v0.7.0
github.com/google/s2a-go v0.1.8
github.com/google/uuid v1.6.0
github.com/googleapis/enterprise-certificate-proxy v0.3.4
github.com/googleapis/gax-go/v2 v2.14.1
github.com/grpc-ecosystem/go-grpc-prometheus v1.2.0
github.com/inconshreveable/mousetrap v1.1.0
github.com/jessevdk/go-flags v1.6.1
github.com/jpillora/backoff v1.0.0
github.com/json-iterator/go v1.1.12
github.com/julienschmidt/httprouter v1.3.0
github.com/k-sone/critbitgo v1.4.0
github.com/kr/fs v0.1.0
github.com/kr/pretty v0.3.1
github.com/kr/text v0.2.0
github.com/matttproud/golang_protobuf_extensions v1.0.4
github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2 v1.0.2
github.com/mwitkow/go-conntrack v0.0.0-20190716064945-2f068394615f
github.com/orcaman/concurrent-map/v2 v2.0.1
github.com/pelletier/go-toml/v2 v2.2.3
github.com/pingcap/errors v0.11.4
github.com/pkg/diff v0.0.0-20210226163009-20ebb0f2a09e
github.com/pkg/errors v0.9.1
github.com/pkg/sftp v1.13.7
github.com/planetscale/vtprotobuf v0.6.1-0.20240319094008-0393e58bdf10
github.com/pmezard/go-difflib v1.0.0
github.com/prometheus/client_golang v1.16.0
github.com/prometheus/client_model v0.3.0
github.com/prometheus/common v0.42.0
github.com/prometheus/procfs v0.10.1
