github.com/tomodian/release
github.com/BurntSushi/toml v0.3.1
github.com/blang/semver/v4 v4.0.0
github.com/bmatcuk/doublestar v1.3.4
github.com/chzyer/logex v1.1.10
github.com/chzyer/readline v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test v0.0.0-20180213035817-a1ea475d72b1
github.com/cpuguy83/go-md2man/v2 v2.0.0-20190314233015-f79a8a8ca69d
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/facette/natsort v0.0.0-20181210072756-2cd4dd1e2dcb
github.com/juju/ansiterm v0.0.0-20180109212912-720a0952cc2a
github.com/kr/pretty v0.2.1
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/lunixbochs/vtclean v0.0.0-20180621232353-2d01aacdc34a
github.com/manifoldco/promptui v0.8.0
github.com/mattn/go-colorable v0.0.9
github.com/mattn/go-isatty v0.0.4
github.com/pmezard/go-difflib v1.0.0
github.com/russross/blackfriday/v2 v2.0.1
github.com/shurcooL/sanitized_anchor_name v1.0.0
github.com/stretchr/objx v0.1.0
github.com/stretchr/testify v1.7.0
github.com/ttacon/chalk v0.0.0-20160626202418-22c06c80ed31
github.com/urfave/cli/v2 v2.3.0
golang.org/x/sys v0.1.0
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2 v2.2.3
gopkg.in/yaml.v3 v3.0.1
