Cloning into '/home/user/SBOM/work/wesql__wescale'...
go: downloading github.com/spf13/pflag v1.0.5
go: downloading github.com/spf13/cobra v1.6.1
go: downloading github.com/olekukonko/tablewriter v0.0.5
go: downloading google.golang.org/protobuf v1.34.2
go: downloading modernc.org/sqlite v1.20.3
go: downloading golang.org/x/term v0.20.0
go: downloading k8s.io/apimachinery v0.26.1
go: downloading github.com/pires/go-proxyproto v0.6.2
go: downloading github.com/spyzhov/ajson v0.7.2
go: downloading golang.org/x/exp v0.0.0-20230713183714-613f0c0eb8a1
go: downloading golang.org/x/text v0.15.0
go: downloading github.com/pingcap/errors v0.11.5-0.20210425183316-da1aaba5fb63
go: downloading github.com/prometheus/client_golang v1.14.0
go: downloading github.com/DataDog/datadog-go v4.8.3+incompatible
go: downloading github.com/stretchr/testify v1.9.0
go: downloading github.com/golang/glog v1.2.1
go: downloading github.com/klauspost/compress v1.17.6
go: downloading github.com/klauspost/pgzip v1.2.5
go: downloading github.com/grpc-ecosystem/go-grpc-middleware v1.3.0
go: downloading google.golang.org/grpc v1.65.0
go: downloading github.com/hashicorp/consul/api v1.18.0
go: downloading go.etcd.io/etcd/api/v3 v3.5.7
go: downloading go.etcd.io/etcd/client/pkg/v3 v3.5.7
go: downloading go.etcd.io/etcd/client/v3 v3.5.7
go: downloading github.com/mattn/go-runewidth v0.0.14
go: downloading github.com/opentracing-contrib/go-grpc v0.0.0-20210225150812-73cb765af46e
go: downloading github.com/opentracing/opentracing-go v1.2.0
go: downloading github.com/uber/jaeger-client-go v2.30.0+incompatible
go: downloading gopkg.in/DataDog/dd-trace-go.v1 v1.47.0
go: downloading github.com/minio/minio-go v0.0.0-20190131015406-c8a261de75c1
go: downloading cloud.google.com/go/storage v1.40.0
go: downloading golang.org/x/oauth2 v0.20.0
go: downloading google.golang.org/api v0.180.0
go: downloading cloud.google.com/go v0.113.0
go: downloading github.com/golang/snappy v0.0.4
go: downloading github.com/aws/aws-sdk-go v1.44.192
go: downloading github.com/cpuguy83/go-md2man/v2 v2.0.2
go: downloading github.com/fsnotify/fsnotify v1.6.0
go: downloading github.com/spf13/viper v1.15.0
go: downloading github.com/pingcap/failpoint v0.0.0-20220801062533-2eaa32854a6c
go: downloading github.com/rcrowley/go-metrics v0.0.0-20201227073835-cf1acfcdf475
go: downloading golang.org/x/sys v0.20.0
go: downloading github.com/BurntSushi/toml v1.3.2
go: downloading github.com/tetratelabs/wazero v1.7.1
go: downloading sigs.k8s.io/yaml v1.3.0
go: downloading go.uber.org/atomic v1.11.0
go: downloading github.com/rogpeppe/go-internal v1.11.0
go: downloading github.com/prometheus/client_model v0.3.0
go: downloading github.com/prometheus/common v0.39.0
go: downloading github.com/prometheus/procfs v0.9.0
go: downloading github.com/AdaLogics/go-fuzz-headers v0.0.0-20230106234847-43070de90fa1
go: downloading golang.org/x/tools v0.14.0
go: downloading github.com/dave/jennifer v1.6.0
go: downloading golang.org/x/time v0.5.0
go: downloading golang.org/x/net v0.25.0
go: downloading github.com/gorilla/handlers v1.5.1
go: downloading github.com/gorilla/mux v1.8.0
go: downloading gopkg.in/gcfg.v1 v1.2.3
go: downloading k8s.io/api v0.26.1
go: downloading k8s.io/client-go v0.26.1
go: downloading k8s.io/metrics v0.26.1
go: downloading github.com/stealthrocket/wasi-go v0.8.0
go: downloading github.com/DATA-DOG/go-sqlmock v1.5.2
go: downloading github.com/brianvoe/gofakeit/v6 v6.25.0
go: downloading k8s.io/utils v0.0.0-20230406110748-d93618cff8a2
go: downloading github.com/go-martini/martini v0.0.0-20170121215854-22fa46961aab
go: downloading github.com/howeyc/gopass v0.0.0-20210920133722-c8aef6fb66ef
go: downloading github.com/montanaflynn/stats v0.7.0
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20240528184218-531527333157
go: downloading google.golang.org/genproto v0.0.0-20240401170217-c3f982113cda
go: downloading github.com/hashicorp/go-hclog v1.4.0
go: downloading github.com/hashicorp/serf v0.10.1
go: downloading github.com/mitchellh/mapstructure v1.5.0
go: downloading go.uber.org/zap v1.24.0
go: downloading github.com/rivo/uniseg v0.4.3
go: downloading github.com/uber/jaeger-lib v2.4.1+incompatible
go: downloading github.com/DataDog/datadog-agent/pkg/obfuscate v0.42.0
go: downloading github.com/DataDog/datadog-go/v5 v5.2.0
go: downloading github.com/DataDog/sketches-go v1.4.1
go: downloading github.com/tinylib/msgp v1.1.8
go: downloading golang.org/x/xerrors v0.0.0-20231012003039-104605ab7028
go: downloading github.com/mattn/go-ieproxy v0.0.9
go: downloading cloud.google.com/go/compute/metadata v0.3.0
go: downloading cloud.google.com/go/iam v1.1.7
go: downloading github.com/googleapis/gax-go/v2 v2.12.4
go: downloading modernc.org/libc v1.22.2
go: downloading cloud.google.com/go/auth v0.4.1
go: downloading github.com/spf13/afero v1.9.3
go: downloading github.com/spf13/cast v1.5.0
go: downloading github.com/matttproud/golang_protobuf_extensions v1.0.4
go: downloading github.com/cyphar/filepath-securejoin v0.2.4
go: downloading gopkg.in/warnings.v0 v0.1.2
go: downloading gopkg.in/inf.v0 v0.9.1
go: downloading github.com/google/gofuzz v1.2.0
go: downloading k8s.io/klog/v2 v2.100.1
go: downloading github.com/stealthrocket/wazergo v0.19.1
go: downloading golang.org/x/crypto v0.23.0
go: downloading github.com/fatih/color v1.17.0
go: downloading github.com/codegangsta/inject v0.0.0-20150114235600-33e0aa1cb7c0
go: downloading google.golang.org/genproto/googleapis/api v0.0.0-20240528184218-531527333157
go: downloading github.com/coreos/go-systemd/v22 v22.5.0
go: downloading github.com/dgraph-io/ristretto v0.1.1
go: downloading github.com/philhofer/fwd v1.1.2
go: downloading github.com/DataDog/datadog-agent/pkg/remoteconfig/state v0.42.0
go: downloading gopkg.in/ini.v1 v1.67.0
go: downloading go.opencensus.io v0.24.0
go: downloading go.opentelemetry.io/otel v1.24.0
go: downloading go.opentelemetry.io/otel/trace v1.24.0
go: downloading cloud.google.com/go/auth/oauth2adapt v0.2.2
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.49.0
go: downloading modernc.org/mathutil v1.5.0
